Index,Section_Title,Content
10, DS5-4 S2.1.1.1 F1A F1B F1C F1D F1E,"2.1.1.1 Perform an engineering analysis to determine an adequate electrical protective scheme for each transformer, taking into account the following factors:  A. The criticality of the transformer  B. The lead time required to replace or repair the transformer  C. The fire exposure presented by the transformer to buildings and equipment  D. The effect of transformer failure on system integrity and reliability  E. The service requirements of the transformer (e.g., is the transformer required to operate in a high fault environment, or is it exposed to high levels of harmonics, overvoltages, and lightning?)  See Figure 1A for a typical protective scheme for a two-winding, delta-wye connected transformer up to 10,000 kVA in size using fuses on the primary of the transformers.  See Figure 1B for a typical protective scheme for a two-winding, delta-wye connected transformer up to 10,000 kVA in size using a circuit breaker on the primary of the transformers.  See Figure 1C for a typical protective scheme for a two-winding, delta-wye connected transformer greater than 10,000 kVA in size.  See Figure 1D for a typical protective scheme for transformers greater than 10,000 kVA in size with a secondary selective system.  See Figure 1E for some alternative protective devices that achieve the same level of protection as the schemes shown in Figures 1A, 1B, and 1C.  | Device No. | Description | Dry | Liquid (MVA) |     | | ---------- | ----------- | --- | ------------ | --- | | | | | 1–5 | 5–10 | | 26 | Liquid thermal device | | I | I | | 49 | Winding thermal device | I | | I | | 51N¹ | Time delay overcurrent relay. (Ground fault protection of transformer wye winding and through faults.) | T | T | T | | 51TL | Time delay overcurrent relay. (Transformer overload protection) | T | T | T | | 63 | Sudden pressure relay | | | T | | 71 | Liquid Level Device | | I | I |  Notes: A—Alarm, I—Indication, T—Trip 1. Devices 50G, 50N/51N, 50NY/51NY, 67N and 87TN are alternatives. (See Fig 1E.)  [file:///figure-5-4-1a.png] Fig. 1A.Typical protective scheme for a two-winding, delta-wye connected transformer up to 10,000 kVA in size using fuses on the primary of the transformers  | Device No. | Description | Dry | Liquid (MVA) |     | | ---------- | ----------- | --- | ------------ | --- | | | | | 1–5 | 5–10 | | 26 | Liquid thermal device. | | I | I | | 49 | Winding thermal device. | I | | I | | 50ND | Instantaneous ground overcurrent relay. (High magnitude ground fault protection of transformer delta winding and leads.)  | T | T | T | | 50TF | Instantaneous overcurrent relay. (High magnitude transformer internal phase fault protection.)  | T | T | T | | 51N¹ | Time delay overcurrent relay. (Ground fault protection of transformer wye winding and through faults.)  | T | T | T | | 51ND² | Time delay ground overcurrent relay. (Ground fault protection of transformer delta winding and leads.)  | T | T | T | | 51TF | Time delay overcurrent relay. (Phase through fault protection.)  | T | T | T | | 51TL | Time delay overcurrent relay. (Transformer overload protection)  | T | T | T | | 63 | Sudden pressure relay | | | T | | 71 | Liquid level device | | I | I |  Notes: A—Alarm, I—Indication, T—Trip  1. Devices 50G, 50N/51N, 50NY/51NY, 67N and 87TN are alternatives. (See Fig 1E.)  2. Device 50GD is an alternative to 50ND/51ND. (See Fig 1E.)  [file:///figure-5-4-1b.png] Fig. 1B. Typical protective scheme for a two-winding, delta-wye connected transformer up to 10,000 kVA in size using a circuit breaker on the primary of the transformers  | Device No. | Description | Action | | ---------- | ----------- | ------ | | 24 | Volts/hertz relay (For unit connected transformers only) | T | | 26 | Liquid thermal device | A | | 49 | Winding thermal device | A | | 50ND² | Instantaneous ground  overcurrent relay. (High magnitude ground fault protection of transformer delta winding and leads.) | T | | 50TF | Instantaneous overcurrent relay. (High magnitude transformer internal phase fault protection) | T | | 51N¹ | Time delay overcurrent relay. (Ground fault protection of transformer wye winding and through faults.) | T | | 51ND² | Time delay ground overcurrent relay. (Ground fault protection of transformer delta winding and leads.) | T | | 51TF | Time delay overcurrent relay. (Phase through fault protection.) | T | | 51TL | Time delay overcurrent relay. (Transformer overload protection) | T | | 63 | Sudden pressure relay | T | | 71 | Liquid Level Device | I | | 87T | Transformer differential relay (Fault protection for transformer internal faults) | T | | 87TN³ | Transformer ground differential relay (Ground fault protection of transformer wye winding internal faults) | T |  Notes: A—Alarm, I—Indication, T—Trip  1. Devices 50G, 50N/51N, and 50NY/51NY are alternatives. (See Fig 1E.)  2. Device 50GD is an alternative to 50ND/51ND. (See Fig 1E.)  3. Device 67N is an alternative to 87TN. (See Fig 1E.)  [file:///figure-5-4-1c.png] Fig. 1C. Typical protective scheme for a two-winding, delta-wye connected transformer greater than 10,000 kVA in size   | Device No. | Description | | ---------- | ----------- | | 26 | Liquid thermal device | | 49 | Winding thermal device | | 50ND | Instantaneous ground  overcurrent relay. (High magnitude ground fault protection of transformer delta winding and leads.) | | 50TF | Instantaneous overcurrent relay. (High magnitude transformer internal phase fault protection) | | 51N | Time delay overcurrent relay. (Ground fault protection of transformer wye winding and through faults.) | | 51ND | Time delay ground overcurrent relay. (Ground fault protection of transformer delta winding and leads.) | | 51TF | Time delay overcurrent relay. (Phase through fault protection.) | | 51TL | Time delay overcurrent relay. (Transformer overload protection.) | | 63 | Sudden pressure relay. | | 67N³ | AC Directional neutral overcurrent relay. (Ground fault protection of transformer wye winding internal faults) | | 71 | Liquid Level Device | | 87T | Transformer differential relay (Fault protection for transformer internal faults) | | 87TN | Transformer ground differential relay (Ground fault protection of transformer wye winding internal faults) |  Notes:  1. Devices 50G, 50N/51N, and 50NY/51NY are alternatives.  2. Device 50GD is an alternative to 50ND/51ND.  3. Device 67N is an alternative to 87TN.  Note:  Electrical protection shown for 10-MVA and larger transformers. Protection should be chosen per Fig. 1A, 1B, or 1C depending upon transformer size.  [file:///figure-5-4-1d.png]Fig. 1D. Typical protective scheme for transformers greater than 10,000 kVA in size with a secondary selective system   | Device No. | Description | | ---------- | ----------- | | 24 | Volts/hertz relay (For unit connected transformers only) | | 26 | Liquid thermal device | | 49 | Winding thermal device | | 50G¹ | Zero sequence instantaneous ground overcurrent relay. (Ground fault protection of wye winding and through faults) | | 50GD² | Zero sequence instantaneous ground overcurrent relay. (Ground fault protection of transformer delta winding.) | | 50N | Instantaneous ground overcurrent relay. (High magnitude ground fault protection of wye winding and through faults.) | | 50ND | Instantaneous ground overcurrent relay. (High magnitude ground fault protection of transformer delta winding and leads.) | | 50NY | Instantaneous ground overcurrent relay. (High magnitude ground fault protection of wye winding and through faults.) | | 50TF | Instantaneous overcurrent relay. (High magnitude transformer internal phase fault protection) | | 51N | Time delay overcurrent relay. (Ground fault protection of transformer wye winding and through faults.) | | 51ND | Time delay ground overcurrent relay. (Ground fault protection of transformer delta winding and leads.) | | 51NY | Time delay overcurrent relay. (Ground fault protection of transformer wye winding and through faults.) | | 51TF | Time delay overcurrent relay. (Phase through fault protection.) | | 51TL | Time delay overcurrent relay. (Transformer overload protection) | | 63 | Sudden pressure relay | | 67N³ | AC Directional neutral overcurrent relay. (Ground fault protection of transformer wye winding internal faults) | | 71 | Liquid Level Device | | 87T | Transformer differential relay (Fault protection for transformer internal faults) | | 87TN | Transformer ground differential relay (Ground fault protection of transformer wye winding internal faults) |  Notes:  1. Devices 50G, 50N/51N, 50NY/51NY are alternatives.  2. Device 50GD is an alternative to 50ND/51ND.  3. Device 67N is an alternative to 87TN.  [file:///figure-5-4-1e.png] Fig. 1E. Alternative protective devices that achieve the same level of protection as those shown in Figures 1A, 1B, and 1C"
11, DS5-4 S2.1.1.2,"2.1.1.2 Provide overvoltage transient protection for all transformers in accordance with Data Sheet 5-11, Lightning and Surge Protection for Electrical Systems."
12, DS5-4 S2.1.1.3,"2.1.1.3 Provide differential protection to cover all the windings on multiple-winding power transformers, including specialty transformers such as rectifier, induction, and arc furnace transformers when applicable. Where the high magnetic fields of specialty transformers prohibit the use of conventional iron core current transformers, use Rogowski coil current sensors to implement differential protection."
13, DS5-4 S2.1.1.4,2.1.1.4 Provide overcurrent and ground fault protection for the tertiary winding of three-winding transformers and autotransformers.
14, DS5-4 S2.1.1.5 T1,"2.1.1.5 Provide an arc-monitoring system to detect arcing faults in transformer vaults with exposed energized components. Provide this additional protection when the ground fault relay cannot be set low enough to detect ground fault current due to neutral imbalance current flow. Table 1 contains a list of specialty transformers and the additional protection recommended for them.  Table 1. Recommended Additional Protection for Specialty Transformers  | Transformer Type | Special Features | Additional Protection | | ---------------- | ---------------- | --------------------- | | In-phase regulating transformer | The high impedance exciting winding (or shunt winding) makes it difficult to detect faults in this winding with a high level of sensitivity. | Primary protection should consist of sudden pressure relays in the main tanks as well as the tap changer compartment. Differential protection for the exciting winding is also needed.¹ | | Phase-shifting, quadrature booster transformer | In addition to the issues with the high impedance exciting winding mentioned above for in-phase regulating transformers, protection of phase shifting transformers also needs to consider protection requirements for the shunt and series windings. | Primary protection should consist of sudden pressure relays in the main tanks (quadrature booster transformers usually have at least two sets of tanks to house the shunt and series transformers) as well as the tap changer compartment. Differential protection for the exciting, series, and shunt winding is also needed.² | | Load tap changing transformer | The tap winding and preventive auto transformer (if provided) will be part of the protection zone covered by the transformer protection. Therefore, dedicated protection for the tap changer is not needed. However, the tap changer needs to be taken into account when designing the protection for the transformer. For example, the tap position will affect transformer differential protection and needs to be accounted for. The separate tap changer compartment also needs to be protected from overpressure. And, protection should also be considered for the tap changer motor. | Separate Bucholz relays should be provided if the load tap changer compartment is supplied from a separate conservator tank or from a separate compartment of the conservator tank. Sudden pressure relays are also needed for the load tap changer compartment. Overload, short circuit, and ground fault protection should be provided for the load tap changer motor. | | Grounding transformer | A grounding transformer that is solidly or low resistance grounded is not able to withstand ground faults for long. When the grounding transformer is located within the differential protection zone of the main transformer, zero sequence current provided by the grounding transformer during external ground faults can cause a false differential protection trip. | Overcurrent relay protection arranged to pick up zero sequence current should be provided to protect the grounding transformer. Differential protection may also be used for this purpose. Sudden pressure relays are needed as a primary defense against internal faults, especially for zig-zag grounding transformers where the internal impedance can limit the current during internal turn-to-turn faults. A zero sequence filter should be included when the grounding transformer is in the protection zone to prevent inadvertent differential protection operation. | | Arc furnace transformer | The high magnetic fields, high secondary currents, and a large harmonic content in the secondary current makes it impractical to implement differential protection using conventional iron core current transformers. | Use Rogowski Coil current sensors to implement differential protection. | | Rectifier transformer | The same features present in arc furnace transformers, as well as the large physical size of the bushings of the double secondary windings of some rectifier transformers, make it impractical to implement differential protection using conventional iron core current transformers. | Use Rogowski Coil current sensors to implement differential protection. |  1 The CTs for the exciting winding differential protection may need to be installed internally.  2 The CTs to implement differential protection for these transformers are typically located internally and need to be specified during manufacture. "
15, DS5-4 S2.1.2,2.1.2 Transportation of Transformers
16, DS5-4 S2.1.2.1,2.1.2.1 Install multiple impact recorders on transformers whenever transformers need to be moved.
17, DS5-4 S2.1.2.2,2.1.2.2 Perform a frequency response analysis measurement of the transformer before it is moved. Repeat this measurement after the transformer has arrived at its destination to determine if any winding or core movement occurred.  Note that FRA measurements will be affected if there is fluid in the transformer and/or bushings are installed.  Perform the measurements with the transformer in the same state so the results can be compared.
18, DS5-4 S2.1.3,2.1.3 Operation and Maintenance
19, DS5-4 S2.1.3.1,"2.1.3.1 Benchmark Testing Benchmark testing (or “fingerprinting”) is a valuable method of providing baseline data about a transformer.  This information is used to make asset management decisions, to help with troubleshooting, and make decisions about whether to reenergize a transformer after it has tripped."
20, DS5-4 S2.1.3.1.1,2.1.3.1.1 Perform the following benchmark tests on all new transformers:  • Thermography  • Frequency Response Analysis  • Exciting Current  • Leakage Reactance  • Partial Discharge Analysis  • Acoustic Measurement of the On Load Tap Changer  • Acoustic Measurement of the transformer tank  • Power Factor Testing (windings and bushings)  • Capacitance (windings and bushings)  • Furan Analysis  • Moisture in solid insulation  • Corrosive sulfur in oil
21, DS5-4 S2.1.3.1.2,2.1.3.1.2 Perform benchmark tests on existing critical in-service transformers if baseline data for these transformers has never beencollected.
22, DS5-4 S2.1.3.2,"2.1.3.2 Testing and Maintenance The recommended frequencies for inspection, testing, and maintenance are a general guide. These frequencies should be increased or decreased depending on factors such as the criticality of the unit, operating history, operating condition, availability of online monitoring, and age."
23, DS5-4 S2.1.3.2.1,"2.1.3.2.1 Visually inspect transformers on a regular basis to check for problems such as cracked bushings, fouled radiators, low oil levels, low nitrogen pressure, expired desiccant, leaks, and other abnormal conditions. For indoor transformers, check that equipment is operating in a clean, cool, dry, and tight condition with no abnormal noises, smells, vibration, or heat. Also ensure housekeeping is satisfactory, with no dust, debris, temporary storage, or exposed combustible materials."
24, DS5-4 S2.1.3.2.2,"2.1.3.2.2 Perform the following online tests once a year, and more frequently if warranted based on operating history, condition, and/or criticality for main tank and LTC oil compartment:  A. Thermography  B. Dissolved gas analysis  C. Fluid screening  1. For mineral oil, include the following tests at a minimum:  • Color  • Dielectric breakdown strength  • Moisture  • Power factor  • Interfacial tension  • Neutralization number  • Inhibitor content (only for inhibited oils)  2. For natural ester oil, include the following tests at a minimum:  • Color  • Dielectric breakdown strength  • Moisture  • Power factor  • Fire point  • Viscosity"
25, DS5-4 S2.1.3.2.3,"2.1.3.2.3 Perform corrosive sulfur testing of transformers that were built or have had their oil processed or replaced in 2000 or later, and if the oil has not been tested for corrosive sulfur. In particular, perform corrosive sulfur testing of transformers that meet the following conditions:  • The transformer fluid is a mineral oil.  • The mineral oil is an uninhibited type.  • The oil preservation system is sealed (not free breathing).  • The transformer has a high sustained load factor.  • The transformer is operating in a hot climate.  • The transformer windings are bare copper.  Transformers that meet these conditions are at the highest risk of failure due to corrosive sulfur contamination."
26, DS5-4 S2.1.3.2.3.1,2.1.3.2.3.1 Perform the IEC 62535 or Doble covered conductor deposition test in addition to the ASTM 1275 Modified Method B test.
27, DS5-4 S2.1.3.2.3.2,"2.1.3.2.3.2 When corrosive sulfur is detected, add copper passivators to the transformer oil to a concentration of 100 ppm. Check the concentration of the passivators on an annual basis to determine if additional passivators are needed. Add additional passivators as needed. Note: The addition of passivators needs to be made known to the laboratory performing dissolved gas analysis, as passivators can affect the stray gassing characteristics of the transformer oil."
28, DS5-4 S2.1.3.2.4,"2.1.3.2.4 In addition to the recommended standard fluid tests, perform the following tests on the transformer fluid every three years:  • PCB  • Furan analysis"
29, DS5-4 S2.1.3.2.5 T2,"2.1.3.2.5 Perform the routine offline (de-energized) tests listed in Table 2 every three years.  Table 2. Routine Offline (De-Energized) Tests  | Components | Test | | ---------- | ---- | | Windings | Insulation resistance | |  | Winding resistance | |  | Polarization index | |  | Turns ratio | |  | Power factor/capacitance | | Bushings | Power factor/capacitance¹ | | Core | Core insulation resistance² | | On-load tap changer³ | Turns ratio | |  | Contact resistance | |  | Insulation resistance | |  | Motor current measurement |  1 For bushings where there is no test tap, perform hot collar test.  2 Transformers generally have intentional core ground connection mounted under a manhole at the top of transformer or through the tank wall via a small low voltage bushing. It allows the ground to be easily disconnected and allows a measurement of the resistance between core and ground. However, there are some designs like shell form in which the core ground is inaccessible that makes the core ground insulation resistance measurement impossible.  3 The electrical testing such as turn ratio, contact resistance for on-load tap changer is performed by repeating relevant winding electrical testing when the tap is moved at different tap positions. "
30, DS5-4 S2.1.3.2.6,2.1.3.2.6 Perform routine maintenance servicing for on-load tap changers per OEM guidance.
31, DS5-4 S2.1.3.2.7 T3,"2.1.3.2.7 Perform the additional tests listed in Table 3 if routine tests indicate a problem with the transformer to evaluate and investigation the fitness for continued use.  These additional tests are also useful in deciding whether to reenergize the transformer after it has tripped due to the operation of protection relays.  Table 3. Focused Off-Line Tests  | Test | Failure Mode | Testing Remarks | | ---- | ------------ | --------------- | | Partial discharge | • Partial discharge activity involving the transformer core, winding or bushings | In-service | | Electromagnetic interference | • Partial discharge activity or arcing involving the transformer core, winding, bushings or connections | In-service | | Acoustic measurement | • Partial discharge activity involving the transformer core, winding or tap changer | In-service | | Exciting current | • Shorted core laminations | Outage needed | |  | • Poor core joints |  | |  | • Short circuited or open circuited windings |  | |  | • Poor electrical connections |  | |  | • Tap changer problems |  | |  | • Core and winding movement |  | | Frequency response analysis | • Radial buckling or axial deformation of windings | Outage needed | |  | • Core and winding movement |  | |  | • Clamping failures |  | |  | • Shorted turns |  | | Leakage inductance testing | • Core and Winding movement | Outage needed | |  | • Winding distortion or damage |  | | Capacitance/power factor (winding) | • Moisture, carbon and other internal  contamination of the winding insulation | Outage needed | | Winding resistance | • Shorted turns | Outage needed | |  | • Poor connections |  | |  | • Open circuited windings |  | |  | • Poor tap changer connections | | | Core insulation | • Unintentional core grounds | Outage needed | |  | • Deteriorated core ground insulation |  | | Turns ratio | • Shorted turns | Outage needed | |  | • Open circuited windings |  | |  | • Tap changer problems |  | | Capacitance/power factor (bushings) | • Moisture, carbon and other internal  contamination | Outage needed | |  | • Shorted condenser layers in capacitive type bushings |  | |  | • Faulty bushing test taps | | | Insulation resistance | • Contaminated or deteriorated winding insulation | Outage needed | "
32, DS5-4 S2.1.3.3,2.1.3.3 Investigate the suitability of the bushing for continued use or replace the bushing when the power factor value increases more than 2 times of the baseline value or capacitance increases to 10% or more over the baseline value.
33, DS5-4 S2.1.3.4,"2.1.3.4 Perform transformer paper insulation remaining useful life assessment when the following conditions are detected:  A. CO₂/CO ratio is greater than 10, and CO₂ concentration is greater than 10,000 ppm.  B. DP levels (as indicated by furan analysis) are 400 or lower.  C. Transformer operating history indicates there has been accelerated deterioration of the paper insulation, such as overloading or high moisture level."
34, DS5-4 S2.1.4,2.1.4 Online Condition Monitoring
35, DS5-4 S2.1.4.1,"2.1.4.1 Provide continuous online condition monitoring for the following types of transformers:  A. High-value or critical transformers the loss of which will have a significant business impact .  B. Transformers that are operated under onerous conditions, such as in a high surge environment, constant or frequent overload operation, and high harmonic distortion, such as arc furnaces and rectifier transformers.  C. Transformers for which the maintenance and testing intervals must be significantly extended due to reasons such as the inability to remove the transformer from service, location in remote areas, or lack of resources."
36, DS5-4 S2.1.4.2,2.1.4.2 Provide online condition monitoring systems to monitor the following parameters (several separate pieces of equipment may be needed to achieve the required level of condition monitoring):  A. Moisture-in-oil (with appropriate algorithms to translate this to a moisture-in-paper measurement)  B. Temperature  C. Dissolved gases  D. Power factor for bushing with testing tap  E. Partial discharge activity monitoring  F. On-load tap changer motor current
37, DS5-4 S2.1.4.2.1,"2.1.4.2.1 In addition to online condition monitoring systems, conduct periodic in-service testing using the following equipment:  • Acoustic sensors to monitor partial discharge activity  • Corona cameras"
38, DS5-4 S2.1.4.3,"2.1.4.3 Select online condition monitoring systems with the following features and capabilities:  A. The ability to either transmit data continuously to a manned location (SCADA), or the ability to allow remote retrieval of the data  B. The ability to generate alarms (to a staffed location) when unusual conditions are detected.  C. The ability to analyze monitored parameters, generate a summary of the condition of the transformer, and produce recommendations for basic action  D. The ability for the user to set caution and alarm levels  E. The ability to store and trend monitored parameters  F. Field calibration and self-diagnostic capabilities  G. A measurement accuracy of ±5% for DGA gases and moisture-in-oil  H. A measurement accuracy of +/-1% for bushing leakage current monitoring and be able to accept leakage current up to 300 mA  I. A sampling rate of at least once every 4 hours (an hourlysampling rate is preferred)  J. Robustness and immunity to electromagnetic fields interference and radio frequency interference.  K. Security to prevent unauthorized changes to alarm conditions andlimits"
39, DS5-4 S2.1.4.3.1,"2.1.4.3.1 Online condition monitoring systems are not a substitute for electrical testing. Online condition monitoring systems can be used to adjust the interval between electrical testing, but should not be used to justify a lack of testing. FM Global views online condition monitoring systems as broadband, early warning systems that trigger more focused electrical tests, including offline testing to confirm problems detected by the online condition monitoring system. An effective online condition monitoring system requires at least the following human elements:  A. Pre-defined action plans for various alert setting levels that are agreed by stakeholders.  B. Tracking of actions for response to alerts, including who responds to alerts, when, and with what comments.  C. Clear ownership of the online condition monitoring systems with sufficient knowledge and experience level. The data should be integrated with all available periodic offline testing and in-service testing information, and operation history for condition assessment."
