Index,Section_ID,Word,Frequency
108,1,Bushing,1
109,1,Condenser,1
110,1,Oil,1
111,1,Moisture,1
112,1,A,1
113,1,GLOSSARY,1
114,1,Table,1
115,1,Dissolved,1
116,1,34,1
117,1,11,1
118,1,Active,1
119,1,Areas,1
120,1,Test,1
121,1,Production,1
122,1,Indoor,1
123,1,Planning,1
124,1,Contingency,1
125,1,16,1
126,1,14,1
127,1,Maintenance,1
128,1,Capacitance,1
129,1,10,1
130,1,Transportation,1
131,1,Prevention,1
132,1,Loss,1
133,1,PREVENTION,1
134,1,LOSS,1
135,1,Hazards,1
136,1,Changes,1
137,1,SCOPE,1
138,1,25,1
139,1,Insulated,1
140,1,Liquids,1
141,1,Containing,1
142,1,Inductance,1
143,1,Leakage,1
144,1,Changers,1
145,1,Ratio,1
146,1,Turns,1
147,1,Exciting,1
148,1,30,1
149,1,Gas,1
150,1,Contents,1
151,1,29,1
152,1,Screen,1
153,1,Fluid,1
154,1,Thermography,1
155,1,Diagnostics,1
156,1,FOR,1
157,1,SUPPORT,1
158,1,PCBs,1
159,1,Biphenyls,1
160,1,Polychlorinated,1
161,1,44,1
163,2,Fig,12
164,2,transformer,6
165,2,protective,5
166,2,transformers,5
167,2,size,4
168,2,scheme,4
169,2,kVA,4
170,2,using,4
171,2,connected,3
172,2,Typical,3
173,2,exposed,3
174,2,7,2
175,2,protection,2
176,2,piping,2
177,2,Nozzle,2
178,2,Figures,2
179,2,8,2
180,2,outdoor,2
181,2,buildings,2
182,2,barriers,2
183,2,separation,2
184,2,arrangement,2
185,2,main,2
186,2,walls,2
187,2,nozzles,2
188,2,greater,2
189,2,primary,2
190,2,4,2
191,2,1C,2
192,2,1B,2
193,2,5,2
194,2,6,2
195,2,building,1
196,2,25,1
197,2,21,1
198,2,Use,1
199,2,fire,1
200,2,distances,1
201,2,ordinary,1
202,2,capacity,1
203,2,22,1
204,2,Determination,1
205,2,roof,1
206,2,area,1
207,2,23,1
208,2,Fire,1
209,2,multiple,1
210,2,24,1
211,2,List,1
212,2,2,1
213,2,distance,1
214,2,horizontal,1
215,2,fuses,1
216,2,circuit,1
217,2,breaker,1
218,2,1D,1
219,2,secondary,1
220,2,selective,1
221,2,system,1
222,2,1E,1
223,2,Alternative,1
224,2,devices,1
225,2,achieve,1
226,2,level,1
227,2,shown,1
228,2,1A,1
229,2,Locations,1
230,2,rooms,1
231,2,18,1
232,2,3,1
233,2,Minimum,1
234,2,26,1
236,3,Table,21
237,3,Transformers,8
238,3,Oil,6
239,3,Tests,5
240,3,Typical,4
241,3,Protection,4
242,3,Separation,4
243,3,Fire,3
244,3,Power,3
245,3,Mineral,3
246,3,Included,3
247,3,Building,3
248,3,29,3
249,3,32,3
250,3,Factor,3
251,3,Gas,3
252,3,Filled,3
253,3,Figure,2
254,3,refer,2
255,3,previous,2
256,3,DGA,2
257,3,Ester,2
258,3,history,2
259,3,General,2
260,3,Rate,2
261,3,Generation,2
262,3,Between,2
263,3,Walls,2
264,3,Exposure,2
265,3,Main,2
266,3,3,2
267,3,35,2
268,3,Recommended,2
269,3,Gases,2
270,3,Test,2
271,3,Screen,2
272,3,Limits,2
273,3,34,2
274,3,31,2
275,3,13,2
276,3,14,2
277,3,4,2
278,3,Transformer,2
279,3,18,2
280,3,Typically,2
281,3,Values,2
282,3,12,1
283,3,30,1
284,3,Represented,1
285,3,Report,1
286,3,Chemical,1
287,3,Formulas,1
288,3,List,1
289,3,No,1
290,3,17,1
291,3,Current,1
292,3,Changes,1
293,3,Interpretation,1
294,3,19,1
295,3,Results,1
296,3,Interpreting,1
297,3,Rules,1
298,3,sample,1
299,3,Previous,1
300,3,Value,1
301,3,Concentration,1
302,3,Dissolved,1
303,3,16,1
304,3,Silicon,1
305,3,15,1
306,3,History,1
307,3,11,1
308,3,Criteria,1
309,3,Natural,1
310,3,Buildings,1
311,3,dimensions,1
312,3,Barriers,1
313,3,Extent,1
314,3,6,1
315,3,21,1
316,3,also,1
317,3,5,1
318,3,Rooms,1
319,3,Construction,1
320,3,7,1
321,3,Focused,1
322,3,Offline,1
323,3,Routine,1
324,3,2,1
325,3,10,1
326,3,Specialty,1
327,3,Additional,1
328,3,1,1
329,3,22,1
330,3,Noncombustible,1
331,3,10B,1
332,3,Distances,1
333,3,10A,1
334,3,Scans,1
335,3,Thermographic,1
336,3,Evaluating,1
337,3,Tables,1
338,3,9,1
339,3,24,1
340,3,Adjacent,1
341,3,Minimum,1
342,3,Roof,1
343,3,8,1
344,3,23,1
345,3,Spray,1
346,3,Water,1
347,3,Barrier,1
348,3,Based,1
349,3,Wall,1
350,3,Where,1
351,3,20,1
353,4,transformers,12
354,4,electrical,4
355,4,loss,3
356,4,prevention,3
357,4,recommendations,3
358,4,related,3
359,4,protection,3
360,4,Sheet,2
361,4,Data,2
362,4,smaller,2
363,4,distribution,2
364,4,operation,2
365,4,testing,2
366,4,maintenance,2
367,4,furnace,2
368,4,contains,2
369,4,reactors,2
370,4,arc,1
371,4,series,1
372,4,use,1
373,4,commercial,1
374,4,industrial,1
375,4,property,1
376,4,Such,1
377,4,usually,1
378,4,replaced,1
379,4,several,1
380,4,within,1
381,4,rectifier,1
382,4,days,1
383,4,Specialty,1
384,4,include,1
385,4,network,1
386,4,generator,1
387,4,utility,1
388,4,induction,1
389,4,voltage,1
390,4,SCOPE,1
391,4,step,1
392,4,power,1
393,4,data,1
394,4,sheet,1
395,4,fire,1
396,4,ALL,1
397,4,types,1
398,4,It,1
399,4,also,1
400,4,large,1
401,4,critical,1
402,4,specialty,1
403,4,These,1
404,4,ONLY,1
405,4,For,1
406,4,see,1
407,4,This,1
408,4,Electrical,1
409,4,Testing,1
410,4,See,1
411,4,5,1
412,4,MVA,1
413,4,shunt,1
415,5,guidance,5
416,5,recommendations,3
417,5,transformers,3
418,5,protection,2
419,5,approach,2
420,5,Improved,2
421,5,B,2
422,5,Revised,2
423,5,contingency,1
424,5,plan,1
425,5,Added,1
426,5,new,1
427,5,CAF,1
428,5,indoor,1
429,5,Changes,1
430,5,overall,1
431,5,content,1
432,5,related,1
433,5,silicone,1
434,5,insulating,1
435,5,fluids,1
436,5,Aligned,1
437,5,M,1
438,5,asset,1
439,5,integrity,1
440,5,emphasis,1
441,5,deficiency,1
442,5,maintenance,1
443,5,condition,1
444,5,integration,1
445,5,sensor,1
446,5,2019,1
447,5,This,1
448,5,document,1
449,5,completely,1
450,5,revised,1
451,5,Major,1
452,5,changes,1
453,5,include,1
454,5,following,1
455,5,A,1
456,5,Updated,1
457,5,differential,1
458,5,special,1
459,5,clarity,1
460,5,consistency,1
461,5,transformer,1
462,5,online,1
463,5,July,1
464,5,monitoring,1
465,5,management,1
467,6,transformer,4
468,6,fire,3
469,6,oil,3
470,6,electrical,2
471,6,explosion,2
472,6,rupture,2
473,6,release,2
474,6,proper,2
475,6,protection,2
476,6,resulting,2
477,6,features,1
478,6,critical,1
479,6,equipment,1
480,6,internal,1
481,6,fault,1
482,6,may,1
483,6,result,1
484,6,overpressure,1
485,6,sufficient,1
486,6,cause,1
487,6,tank,1
488,6,structures,1
489,6,Tank,1
490,6,adjacent,1
491,6,substantial,1
492,6,quantities,1
493,6,damage,1
494,6,extent,1
495,6,cases,1
496,6,high,1
497,6,heat,1
498,6,pool,1
499,6,limiting,1
500,6,Fire,1
501,6,construction,1
502,6,mist,1
503,6,Hazards,1
504,6,However,1
505,6,Power,1
506,6,distribution,1
507,6,transformers,1
508,6,reliable,1
509,6,devices,1
510,6,low,1
511,6,failure,1
512,6,rates,1
513,6,Adequate,1
514,6,testing,1
515,6,maintenance,1
516,6,operation,1
517,6,key,1
518,6,factors,1
519,6,reducing,1
520,6,risk,1
521,6,explosions,1
522,6,fires,1
523,6,FM,1
524,6,Global,1
525,6,loss,1
526,6,statistics,1
527,6,show,1
528,6,10,1
529,6,times,1
530,6,likely,1
531,6,fail,1
532,6,without,1
533,6,event,1
535,7,LOSS,1
536,7,PREVENTION,1
537,7,RECOMMENDATIONS,1
539,8,Electrical,1
540,8,Loss,1
541,8,Prevention,1
543,9,Electrical,1
544,9,Protection,1
546,10,relay,46
547,10,protection,42
548,10,transformer,41
549,10,T,36
550,10,overcurrent,33
551,10,fault,32
552,10,winding,23
553,10,ground,21
554,10,delay,19
555,10,Time,19
556,10,faults,17
557,10,Ground,17
558,10,Device,16
559,10,wye,14
560,10,I,13
561,10,Fig,12
562,10,internal,12
563,10,Liquid,12
564,10,device,11
565,10,Transformer,11
566,10,protective,11
567,10,See,11
568,10,thermal,10
569,10,Instantaneous,10
570,10,magnitude,10
571,10,High,10
572,10,transformers,9
573,10,scheme,9
574,10,size,9
575,10,delta,9
576,10,connected,8
577,10,kVA,8
578,10,1E,8
579,10,alternative,8
580,10,leads,8
581,10,87TN,7
582,10,differential,6
583,10,67N,5
584,10,No,5
585,10,Description,5
586,10,1C,5
587,10,26,5
588,10,1B,5
589,10,The,5
590,10,file,5
591,10,49,5
592,10,overload,5
593,10,alternatives,5
594,10,Winding,5
595,10,50G,5
596,10,Figure,5
597,10,Devices,5
598,10,1,5
599,10,Notes,5
600,10,71,5
601,10,pressure,5
602,10,Sudden,5
603,10,63,5
604,10,51TL,5
605,10,50GD,4
606,10,Level,4
607,10,50TF,4
608,10,phase,4
609,10,51TF,4
610,10,Phase,4
611,10,1A,4
612,10,2,4
613,10,typical,4
614,10,using,4
615,10,primary,4
616,10,greater,4
617,10,3,3
618,10,Fault,3
619,10,87T,3
620,10,system,3
621,10,51N¹,3
622,10,level,3
623,10,50ND,3
624,10,A,3
625,10,shown,3
626,10,Typical,3
627,10,required,2
628,10,Directional,2
629,10,Zero,2
630,10,sequence,2
631,10,instantaneous,2
632,10,AC,2
633,10,67N³,2
634,10,51ND,2
635,10,51N,2
636,10,51ND²,2
637,10,neutral,2
638,10,achieve,2
639,10,selective,2
640,10,secondary,2
641,10,MVA,2
642,10,unit,2
643,10,For,2
644,10,24,2
645,10,devices,2
646,10,fuses,2
647,10,circuit,2
648,10,Dry,2
649,10,1D,2
650,10,high,2
651,10,Figures,2
652,10,breaker,2
653,10,50NY,1
654,10,50GD²,1
655,10,50N,1
656,10,51NY,1
657,10,50G¹,1
658,10,87TN³,1
659,10,upon,1
660,10,depending,1
661,10,chosen,1
662,10,Protection,1
663,10,larger,1
664,10,Electrical,1
665,10,Note,1
666,10,Action,1
667,10,50ND²,1
668,10,per,1
669,10,Perform,1
670,10,engineering,1
671,10,factors,1
672,10,repair,1
673,10,replace,1
674,10,time,1
675,10,lead,1
676,10,B,1
677,10,criticality,1
678,10,following,1
679,10,exposure,1
680,10,account,1
681,10,taking,1
682,10,electrical,1
683,10,adequate,1
684,10,determine,1
685,10,analysis,1
686,10,fire,1
687,10,presented,1
688,10,schemes,1
689,10,operate,1
690,10,lightning,1
691,10,overvoltages,1
692,10,harmonics,1
693,10,levels,1
694,10,exposed,1
695,10,environment,1
696,10,requirements,1
697,10,buildings,1
698,10,service,1
699,10,reliability,1
700,10,integrity,1
701,10,failure,1
702,10,effect,1
703,10,equipment,1
704,10,Alternative,1
706,11,Provide,1
707,11,overvoltage,1
708,11,transient,1
709,11,protection,1
710,11,transformers,1
711,11,accordance,1
712,11,Data,1
713,11,Sheet,1
714,11,Lightning,1
715,11,Surge,1
716,11,Protection,1
717,11,Electrical,1
718,11,Systems,1
720,12,transformers,5
721,12,protection,2
722,12,current,2
723,12,specialty,2
724,12,use,2
725,12,differential,2
726,12,Provide,1
727,12,magnetic,1
728,12,sensors,1
729,12,coil,1
730,12,Rogowski,1
731,12,core,1
732,12,iron,1
733,12,conventional,1
734,12,prohibit,1
735,12,fields,1
736,12,Where,1
737,12,high,1
738,12,applicable,1
739,12,furnace,1
740,12,arc,1
741,12,induction,1
742,12,rectifier,1
743,12,including,1
744,12,power,1
745,12,windings,1
746,12,cover,1
747,12,implement,1
749,13,Provide,1
750,13,overcurrent,1
751,13,ground,1
752,13,fault,1
753,13,protection,1
754,13,tertiary,1
755,13,winding,1
756,13,transformers,1
757,13,autotransformers,1
759,14,protection,27
760,14,transformer,17
761,14,tap,12
762,14,transformers,11
763,14,differential,10
764,14,current,10
765,14,changer,9
766,14,winding,8
767,14,also,7
768,14,The,7
769,14,compartment,6
770,14,grounding,6
771,14,faults,6
772,14,ground,5
773,14,provided,5
774,14,relays,5
775,14,exciting,5
776,14,high,5
777,14,implement,5
778,14,shunt,4
779,14,needs,4
780,14,pressure,4
781,14,sequence,3
782,14,series,3
783,14,main,3
784,14,tanks,3
785,14,well,3
786,14,Differential,3
787,14,impedance,3
788,14,load,3
789,14,separate,3
790,14,secondary,3
791,14,fault,3
792,14,internal,3
793,14,needed,3
794,14,1,3
795,14,zero,3
796,14,detect,3
797,14,zone,3
798,14,A,2
799,14,may,2
800,14,Sudden,2
801,14,tank,2
802,14,sudden,2
803,14,conservator,2
804,14,furnace,2
805,14,quadrature,2
806,14,booster,2
807,14,located,2
808,14,large,2
809,14,motor,2
810,14,windings,2
811,14,impractical,2
812,14,consist,2
813,14,Rogowski,2
814,14,relay,2
815,14,need,2
816,14,low,2
817,14,CTs,2
818,14,additional,2
819,14,Table,2
820,14,Primary,2
821,14,Additional,2
822,14,Protection,2
823,14,sensors,2
824,14,Coil,2
825,14,Provide,2
826,14,iron,2
827,14,Use,2
828,14,using,2
829,14,core,2
830,14,regulating,2
831,14,makes,2
832,14,internally,2
833,14,conventional,2
834,14,content,1
835,14,external,1
836,14,cause,1
837,14,resistance,1
838,14,size,1
839,14,false,1
840,14,double,1
841,14,trip,1
842,14,Overcurrent,1
843,14,bushings,1
844,14,When,1
845,14,rectifier,1
846,14,within,1
847,14,make,1
848,14,pick,1
849,14,typically,1
850,14,long,1
851,14,withstand,1
852,14,able,1
853,14,grounded,1
854,14,arranged,1
855,14,physical,1
856,14,protect,1
857,14,harmonic,1
858,14,currents,1
859,14,fields,1
860,14,Rectifier,1
861,14,magnetic,1
862,14,specified,1
863,14,Arc,1
864,14,operation,1
865,14,inadvertent,1
866,14,prevent,1
867,14,included,1
868,14,filter,1
869,14,limit,1
870,14,features,1
871,14,especially,1
872,14,2,1
873,14,installed,1
874,14,defense,1
875,14,primary,1
876,14,arc,1
877,14,purpose,1
878,14,used,1
879,14,present,1
880,14,designing,1
881,14,solidly,1
882,14,level,1
883,14,Transformers,1
884,14,Transformer,1
885,14,Type,1
886,14,Special,1
887,14,Features,1
888,14,difficult,1
889,14,sensitivity,1
890,14,Grounding,1
891,14,In,1
892,14,addition,1
893,14,issues,1
894,14,mentioned,1
895,14,phase,1
896,14,shifting,1
897,14,Specialty,1
898,14,Recommended,1
899,14,recommended,1
900,14,specialty,1
901,14,list,1
902,14,contains,1
903,14,flow,1
904,14,imbalance,1
905,14,neutral,1
906,14,due,1
907,14,enough,1
908,14,set,1
909,14,components,1
910,14,energized,1
911,14,exposed,1
912,14,vaults,1
913,14,arcing,1
914,14,consider,1
915,14,requirements,1
916,14,usually,1
917,14,For,1
918,14,circuit,1
919,14,short,1
920,14,Overload,1
921,14,supplied,1
922,14,Bucholz,1
923,14,Separate,1
924,14,considered,1
925,14,And,1
926,14,overpressure,1
927,14,protected,1
928,14,accounted,1
929,14,affect,1
930,14,position,1
931,14,example,1
932,14,system,1
933,14,least,1
934,14,account,1
935,14,taken,1
936,14,However,1
937,14,dedicated,1
938,14,Therefore,1
939,14,covered,1
940,14,part,1
941,14,auto,1
942,14,preventive,1
943,14,changing,1
944,14,Load,1
945,14,house,1
946,14,sets,1
947,14,two,1
948,14,manufacture,1
950,15,Transportation,1
951,15,Transformers,1
953,16,transformers,2
954,16,Install,1
955,16,multiple,1
956,16,impact,1
957,16,recorders,1
958,16,whenever,1
959,16,need,1
960,16,moved,1
962,17,transformer,4
963,17,Perform,2
964,17,measurement,2
965,17,measurements,2
966,17,occurred,1
967,17,results,1
968,17,state,1
969,17,installed,1
970,17,bushings,1
971,17,fluid,1
972,17,affected,1
973,17,FRA,1
974,17,Note,1
975,17,core,1
976,17,movement,1
977,17,frequency,1
978,17,winding,1
979,17,determine,1
980,17,destination,1
981,17,arrived,1
982,17,Repeat,1
983,17,moved,1
984,17,analysis,1
985,17,response,1
986,17,compared,1
988,18,Operation,1
989,18,Maintenance,1
991,19,Benchmark,2
992,19,decisions,2
993,19,transformer,2
994,19,make,2
995,19,used,1
996,19,reenergize,1
997,19,whether,1
998,19,troubleshooting,1
999,19,help,1
1000,19,management,1
1001,19,asset,1
1002,19,information,1
1003,19,Testing,1
1004,19,This,1
1005,19,data,1
1006,19,baseline,1
1007,19,providing,1
1008,19,method,1
1009,19,valuable,1
1010,19,fingerprinting,1
1011,19,testing,1
1012,19,tripped,1
1014,20,Analysis,3
1015,20,bushings,2
1016,20,windings,2
1017,20,Measurement,2
1018,20,Acoustic,2
1019,20,transformer,1
1020,20,tank,1
1021,20,Power,1
1022,20,Factor,1
1023,20,Testing,1
1024,20,Perform,1
1025,20,Tap,1
1026,20,Capacitance,1
1027,20,Furan,1
1028,20,Moisture,1
1029,20,solid,1
1030,20,insulation,1
1031,20,Corrosive,1
1032,20,sulfur,1
1033,20,Changer,1
1034,20,On,1
1035,20,Load,1
1036,20,following,1
1037,20,Discharge,1
1038,20,Partial,1
1039,20,Reactance,1
1040,20,Leakage,1
1041,20,Current,1
1042,20,Exciting,1
1043,20,Response,1
1044,20,Frequency,1
1045,20,Thermography,1
1046,20,transformers,1
1047,20,new,1
1048,20,tests,1
1049,20,benchmark,1
1050,20,oil,1
1052,21,transformers,2
1053,21,Perform,1
1054,21,benchmark,1
1055,21,tests,1
1056,21,existing,1
1057,21,critical,1
1058,21,baseline,1
1059,21,data,1
1060,21,never,1
1061,21,beencollected,1
1063,22,frequencies,2
1064,22,operating,2
1065,22,Testing,1
1066,22,depending,1
1067,22,monitoring,1
1068,22,online,1
1069,22,availability,1
1070,22,condition,1
1071,22,history,1
1072,22,unit,1
1073,22,criticality,1
1074,22,factors,1
1075,22,decreased,1
1076,22,Maintenance,1
1077,22,increased,1
1078,22,These,1
1079,22,guide,1
1080,22,general,1
1081,22,maintenance,1
1082,22,testing,1
1083,22,inspection,1
1084,22,recommended,1
1085,22,The,1
1086,22,age,1
1088,23,transformers,2
1089,23,check,2
1090,23,abnormal,2
1091,23,low,2
1092,23,Visually,1
1093,23,Also,1
1094,23,dry,1
1095,23,tight,1
1096,23,condition,1
1097,23,noises,1
1098,23,smells,1
1099,23,vibration,1
1100,23,heat,1
1101,23,housekeeping,1
1102,23,ensure,1
1103,23,clean,1
1104,23,satisfactory,1
1105,23,dust,1
1106,23,debris,1
1107,23,temporary,1
1108,23,storage,1
1109,23,exposed,1
1110,23,combustible,1
1111,23,cool,1
1112,23,indoor,1
1113,23,operating,1
1114,23,equipment,1
1115,23,regular,1
1116,23,basis,1
1117,23,problems,1
1118,23,cracked,1
1119,23,bushings,1
1120,23,fouled,1
1121,23,radiators,1
1122,23,oil,1
1123,23,levels,1
1124,23,nitrogen,1
1125,23,pressure,1
1126,23,expired,1
1127,23,desiccant,1
1128,23,leaks,1
1129,23,conditions,1
1130,23,For,1
1131,23,inspect,1
1132,23,materials,1
1134,24,following,3
1135,24,tests,3
1136,24,oil,3
1137,24,include,2
1138,24,minimum,2
1139,24,Color,2
1140,24,Dielectric,2
1141,24,breakdown,2
1142,24,strength,2
1143,24,Moisture,2
1144,24,Power,2
1145,24,factor,2
1146,24,For,2
1147,24,number,1
1148,24,tension,1
1149,24,Inhibitor,1
1150,24,Interfacial,1
1151,24,content,1
1152,24,inhibited,1
1153,24,oils,1
1154,24,2,1
1155,24,natural,1
1156,24,ester,1
1157,24,Fire,1
1158,24,point,1
1159,24,Neutralization,1
1160,24,Perform,1
1161,24,mineral,1
1162,24,main,1
1163,24,online,1
1164,24,year,1
1165,24,frequently,1
1166,24,warranted,1
1167,24,based,1
1168,24,operating,1
1169,24,history,1
1170,24,condition,1
1171,24,criticality,1
1172,24,tank,1
1173,24,1,1
1174,24,LTC,1
1175,24,compartment,1
1176,24,Thermography,1
1177,24,B,1
1178,24,Dissolved,1
1179,24,gas,1
1180,24,analysis,1
1181,24,Fluid,1
1182,24,screening,1
1183,24,Viscosity,1
1185,25,The,6
1186,25,oil,5
1187,25,sulfur,4
1188,25,corrosive,4
1189,25,transformer,4
1190,25,testing,2
1191,25,transformers,2
1192,25,mineral,2
1193,25,conditions,2
1194,25,meet,2
1195,25,Perform,1
1196,25,hot,1
1197,25,sustained,1
1198,25,load,1
1199,25,factor,1
1200,25,operating,1
1201,25,windings,1
1202,25,climate,1
1203,25,breathing,1
1204,25,bare,1
1205,25,copper,1
1206,25,Transformers,1
1207,25,highest,1
1208,25,risk,1
1209,25,failure,1
1210,25,due,1
1211,25,high,1
1212,25,uninhibited,1
1213,25,free,1
1214,25,In,1
1215,25,built,1
1216,25,processed,1
1217,25,replaced,1
1218,25,2000,1
1219,25,later,1
1220,25,tested,1
1221,25,particular,1
1222,25,sealed,1
1223,25,perform,1
1224,25,following,1
1225,25,fluid,1
1226,25,type,1
1227,25,preservation,1
1228,25,system,1
1229,25,contamination,1
1231,26,test,2
1232,26,Perform,1
1233,26,IEC,1
1234,26,62535,1
1235,26,Doble,1
1236,26,covered,1
1237,26,conductor,1
1238,26,deposition,1
1239,26,addition,1
1240,26,ASTM,1
1241,26,1275,1
1242,26,Modified,1
1243,26,Method,1
1244,26,B,1
1246,27,passivators,6
1247,27,needed,2
1248,27,additional,2
1249,27,oil,2
1250,27,transformer,2
1251,27,concentration,2
1252,27,analysis,1
1253,27,affect,1
1254,27,stray,1
1255,27,The,1
1256,27,gas,1
1257,27,dissolved,1
1258,27,performing,1
1259,27,laboratory,1
1260,27,known,1
1261,27,made,1
1262,27,gassing,1
1263,27,needs,1
1264,27,addition,1
1265,27,When,1
1266,27,Note,1
1267,27,Add,1
1268,27,corrosive,1
1269,27,determine,1
1270,27,basis,1
1271,27,annual,1
1272,27,Check,1
1273,27,ppm,1
1274,27,100,1
1275,27,copper,1
1276,27,add,1
1277,27,detected,1
1278,27,sulfur,1
1279,27,characteristics,1
1281,28,fluid,2
1282,28,tests,2
1283,28,In,1
1284,28,addition,1
1285,28,recommended,1
1286,28,standard,1
1287,28,perform,1
1288,28,following,1
1289,28,transformer,1
1290,28,every,1
1291,28,three,1
1292,28,years,1
1293,28,PCB,1
1294,28,Furan,1
1295,28,analysis,1
1297,29,resistance,7
1298,29,tap,5
1299,29,ground,5
1300,29,core,4
1301,29,ratio,3
1302,29,measurement,3
1303,29,2,3
1304,29,allows,2
1305,29,Turns,2
1306,29,electrical,2
1307,29,testing,2
1308,29,insulation,2
1309,29,Power,2
1310,29,test,2
1311,29,Core,2
1312,29,Table,2
1313,29,Insulation,2
1314,29,Perform,1
1315,29,easily,1
1316,29,disconnected,1
1317,29,It,1
1318,29,designs,1
1319,29,bushing,1
1320,29,voltage,1
1321,29,low,1
1322,29,small,1
1323,29,via,1
1324,29,wall,1
1325,29,tank,1
1326,29,However,1
1327,29,inaccessible,1
1328,29,like,1
1329,29,shell,1
1330,29,different,1
1331,29,moved,1
1332,29,winding,1
1333,29,relevant,1
1334,29,repeating,1
1335,29,performed,1
1336,29,changer,1
1337,29,contact,1
1338,29,turn,1
1339,29,The,1
1340,29,3,1
1341,29,impossible,1
1342,29,makes,1
1343,29,top,1
1344,29,form,1
1345,29,transformer,1
1346,29,generally,1
1347,29,manhole,1
1348,29,Offline,1
1349,29,Polarization,1
1350,29,Winding,1
1351,29,Windings,1
1352,29,Test,1
1353,29,Components,1
1354,29,Tests,1
1355,29,Routine,1
1356,29,mounted,1
1357,29,years,1
1358,29,three,1
1359,29,every,1
1360,29,listed,1
1361,29,tests,1
1362,29,offline,1
1363,29,index,1
1364,29,Bushings,1
1365,29,resistance²,1
1366,29,changer³,1
1367,29,Contact,1
1368,29,Motor,1
1369,29,current,1
1370,29,1,1
1371,29,For,1
1372,29,bushings,1
1373,29,perform,1
1374,29,hot,1
1375,29,collar,1
1376,29,Transformers,1
1377,29,routine,1
1378,29,intentional,1
1379,29,connection,1
1380,29,positions,1
1382,30,Perform,1
1383,30,routine,1
1384,30,maintenance,1
1385,30,servicing,1
1386,30,tap,1
1387,30,changers,1
1388,30,per,1
1389,30,OEM,1
1390,30,guidance,1
1392,31,needed,9
1393,31,Outage,9
1394,31,winding,8
1395,31,core,7
1396,31,Shorted,5
1397,31,transformer,5
1398,31,Poor,4
1399,31,circuited,4
1400,31,changer,4
1401,31,insulation,4
1402,31,connections,4
1403,31,bushings,4
1404,31,windings,4
1405,31,Core,4
1406,31,discharge,4
1407,31,Partial,4
1408,31,turns,3
1409,31,involving,3
1410,31,activity,3
1411,31,Winding,3
1412,31,movement,3
1413,31,tests,3
1414,31,Moisture,2
1415,31,3,2
1416,31,Table,2
1417,31,tap,2
1418,31,Tap,2
1419,31,factor,2
1420,31,problems,2
1421,31,carbon,2
1422,31,internal,2
1423,31,contamination,2
1424,31,resistance,2
1425,31,Open,2
1426,31,additional,2
1427,31,Insulation,1
1428,31,Clamping,1
1429,31,deformation,1
1430,31,taps,1
1431,31,axial,1
1432,31,Contaminated,1
1433,31,buckling,1
1434,31,Radial,1
1435,31,analysis,1
1436,31,response,1
1437,31,test,1
1438,31,grounds,1
1439,31,failures,1
1440,31,bushing,1
1441,31,Deteriorated,1
1442,31,damage,1
1443,31,distortion,1
1444,31,Frequency,1
1445,31,ground,1
1446,31,Turns,1
1447,31,ratio,1
1448,31,condenser,1
1449,31,layers,1
1450,31,capacitive,1
1451,31,type,1
1452,31,testing,1
1453,31,inductance,1
1454,31,Unintentional,1
1455,31,Faulty,1
